ids,smiles,inchikey_wo_last
CNP0480868.1,CCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC(C)C,YNQMVGYFGVIJBL-LXXIDKMWSA-
CNP0589337.2,CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCC(C)C,RYPBOKJYVNKIGK-SLKOVYPGSA-
CNP0515607.0,N=c1nc(O)c2c([nH]1)[nH]c(=O)c(=O)[nH]2,SFLOGVVDXPCWGR-UHFFFAOYSA-
CNP0334325.1,C[C@@H](NC(=O)NC1CCCCC1)c1c(C(=O)O)c(-c2ccc(Cl)cc2)no1,WOMKKYVSJZGTKG-LLVKDONJSA-
CNP0206872.1,C[C@H]1CC=C[C@H]2[C@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@]32c2ccc([nH]2)C(=O)[C@H](C)C1,VZGSTMNMTIQFGF-DQDUHYBRSA-
CNP0421246.1,O=C(O)[C@H]1[C@H](CC2(c3ccccc3)CCCC2)c2cc(O)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2N1C(=O)/C=C/c1ccc(O)c(Cc2cnc[nH]2)c1,IRHNNVLGFBCHAC-HAXYREDHSA-
CNP0330128.7,CO[C@@H]1C[C@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,ITKDSJDYFJAVTJ-BKLLTOTNSA-
CNP0563828.2,CCOc1ccc([C@@H]2c3c(CCN2C(=O)c2ccc(Cl)cc2Cl)c2ccccc2[nH]3)cc1,RPJDEIPSCLHMFX-RUZDIDTESA-
CNP0180698.4,CC/C=C\C[C@@H]1C(=O)C=C[C@H]1CCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCC[C@@H]1C=CC(=O)[C@H]1C/C=C\CC,SYJOSMLJXIQXFJ-LABASLMOSA-
CNP0421571.5,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O[C@H]6O[C@@H](C(=O)O)[C@@H](O)[C@@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]7O)[C@H]6O)[C@@](C)(CO)[C@H]5CC[C@]43C)[C@@H]2C1,JDGKHHCYVKBIIT-NMFUFUKTSA-
CNP0245632.6,C/C=C(/C)C(=O)O[C@@H]1[C@@H](OC(=O)/C(C)=C\C)c2cc3c(cc2OC1(C)C)oc(=O)cc3,LBKPHBYDOWPFMZ-HBHSZDAZSA-
CNP0540337.1,CCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,OFKQSPSZBFCZQI-QSCHNALKSA-
LTS0013670,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(CO)C(OC7OCC(O)(CO)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1C,SVUBTQYITUUHSZ-UHFFFAOYSA-
CNP0178042.1,C=C[C@]1(C)C=C2CC[C@H]3C(C)(C)[C@@H](C(=O)O)C[C@]3(C)[C@H]2CC1,JATONPRVKINGTP-STNJDDFNSA-
LTS0121402,CC=C(C)C(=O)OC1CC2(C)C3C(=CCC2C(C)(C)C1OC(=O)C(C)=CCC)COC3O,OFSKLNUEVQSAIH-UHFFFAOYSA-
CNP0414615.1,CC(C)=CCC/C(=C\CC[C@@H](CCC/C(C)=C/CO)C(=O)O)C(=O)O,UAVZQXWDYAGFFJ-RMEZYJCPSA-
CNP0109557.1,CCCCCCCCC/C=C\CC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCCCCCCCCCC,VCLOTRNDBUPTQD-BASWENMZSA-
LTS0039252,C=C(C(O)CC1C(C(=C)C(=O)OC)CC1(C)C)C1CO1,KZIUKKDHFYKXJA-UHFFFAOYSA-
CNP0170921.3,COc1cc(/C=C/CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1OC,SGVIOKXMBPTKTD-LSUNSJSKSA-
CNP0112286.1,CC(C)c1c2O[C@H](C(C)(C)O)Cc2c(OC2CCCC2)c2c1oc1c(c2=O)[C@@H](c2ccc(NO)cc2)CC[C@@H]1O,SCLLTOATXFTQFH-PUHATCMVSA-
LTS0224700,CCCCCCCCCCC(O)C1CCC(C(O)CCC(O)C2CCC(CCCCCCCC3CC(CC(C)=O)C(=O)O3)O2)O1,WAZNHZWSJGMXPS-UHFFFAOYSA-
CNP0314606.2,CC(C)C1=CC(=O)[C@@]2(C)C[C@]3(O)O[C@]4(C(=O)[C@]13C)[C@H](O)[C@@H](C)CC[C@@]42O,GUZTTZMSRBAQKX-IVSPXSSRSA-
LTS0257034,CC(=O)OC1CC2(CO)C(C=C1C)OC1C(O)C(OC(C)=O)C2(C)C12CO2,UROCTWOJYLMRHO-UHFFFAOYSA-
CNP0557522.4,COc1ccccc1[C@@H]1OC(=O)C[C@H]1C(=O)OC[C@@H]1CCC[N@@+]2(C)CCCC[C@H]12,HWQOIKLWBXMRDS-TUNHPGHQSA-
CNP0292573.3,CC(C)=CCc1c(O)c(CC=C(C)C)c2O[C@]34C(=C[C@@H]5CC3C(C)(C)OC4(C/C=C(/C)C(=O)O)C5=O)C(=O)c2c1O,AGLFUQQNMWKHEY-HMUZKCJLSA-
CNP0322313.0,CCCC=Cc1cccc(=O)o1,GVUAFSNSBZBVES-UHFFFAOYSA-
CNP0520692.1,CNC(=O)c1c(C)oc([C@]2(C)CSC([C@]3(C)CSC([C@]4(C)CSC([C@]5(C)CSC(C(C)C)=N5)=N4)=N3)=N2)n1,QQRRYMHITBHPAI-QORCZRPOSA-
CNP0468420.0,COc1cc2c(cc1O)occ(-c1cc(Cl)c(O)c(Cl)c1)c2=O,TWJOLQXAFYTUEB-UHFFFAOYSA-
